errata_header,errata_text,question,answer,applies_to
,,Can the Triumph of Saint Katherine’s Simulacrum of the Ebon Chalice Relics of the Matriarchs ability be used to substitute two dice in a single roll?,No.,datasheet: Triumph of Saint Katherine
"Wave Serpent, Transport Section","Change to: | ‘This model has a transport capacity of 12 **ASURYANI INFANTRY** models. Each **WRAITH CONSTRUCT** model takes the space of 2 models. It cannot transport **JUMP PACK** models or **YNNARI** models (excluding **ASURYANI**, **YVRAINE** and **THE VISARCH** models).’",,,datasheet: Wave Serpent
,,Can the Reinforcements! Stratagem be used on a unit that is Battle-shocked?,No.,stratagem
"Hive Tyrant, Winged Hive Tyrant – Will of the Hive Mind Ability","Change to: | ‘Once per battle round, one model from your army with this ability can use it when a friendly **TYRANIDS** unit within 12"" of that model is targeted with a Stratagem. If it does, reduce the CP cost of that use of that Stratagem by 1CP.’",,,datasheet: Hive Tyrant; datasheet: Winged Hive Tyrant
,,"When using the Protocol of the Conquering Tyrant Stratagem or Lokhust Destroyers’ Hard-wired for Destruction ability, to be eligible to re-roll the Hit roll, does the unit also need to be eligible to re-roll a Hit roll of 1?",Yes (see ‘Rules with Multiple Conditions and Effects’ in the Rules Commentary).,datasheet: Lokhust Destroyers; stratagem
"Kelermorph, Hypersensory Abilities","Change to: | ‘Once per turn, in your opponent’s Movement phase, when an enemy unit ends a Normal, Advance or Fall Back move within 8"" of this model, if this model is not within Engagement Range of one or more enemy units, it can shoot at that unit as if it were your Shooting phase and then make a Normal move of up to D6"" (it cannot embark within a Transport as part of this move).",,,datasheet: Kelermorph
"Captain in Gravis Armour, Master-crafted heavy bolt rifle profile","Change to: | ‘**[ASSAULT, HEAVY]**’. | Range - 30"" | A - 2 | BS - 2+ | S - 5 | AP - -1 | D - 3",,,datasheet: Captain in Gravis Armour
,,"For the Warp Talons’ Warp Strike ability, is a unit that did not fight this phase eligible to use that ability, provided it was eligible to fight at one point during the phase?",No.,datasheet: Warp Talons
,,"When using the Touched by Tzeentch Stratagem in the Warpmeld Pact Detachment, do I have to declare if my unit will shoot or charge | after Advancing as soon as I use the Stratagem?","No, you may decide later in the turn.",stratagem
Warlock Conclave,"■ **Keywords section**: delete ‘**CHARACTER**’. | ■ **Leader section**: change to ‘At the start of the Declare Battle Formations step, if this unit is not an Attached unit, this unit can join one **GUARDIAN DEFENDERS** or **STORM GUARDIANS** unit from your army (a unit cannot have more than one **WARLOCK CONCLAVE** unit joined to it). If it does, until the end of the battle, every model in this unit counts as being part of that Bodyguard unit, and that Bodyguard unit’s Starting Strength is increased accordingly.’",,,datasheet: Warlock Conclave
"Gretchin, Thievin’ Scavengers ability","Change to: | ‘At the start of your Movement phase, roll one D6 for each objective marker you control that has one or more units from your army with this ability within range of it (excluding Battle-shocked units). If one or more of those rolls is a 4+, you gain 1CP.’",,,datasheet: Gretchin
"Red Corsairs Reave Captain, Raiders Due Ability","Change to: | When this unit **declares a charge** If an enemy unit within range of an **objective** is within 12"" of this unit, you can use this ability. If you do: | This unit can re-roll that **charge roll**. | This unit must end that **charge move engaged** with one or more of those enemy units.",,,datasheet: Red Corsairs Reave-Captain
"Hunta Rig, Kill Rig","■ **Keywords**: Remove '**VEHICLE**', add '**MONSTER**'. | ■ **Saw Blades weapon**: Change **AP** to '-2'.",,,datasheet: Hunta Rig; datasheet: Kill Rig
,,"If a unit contains two models equipped with a vox-caster, can I attempt to generate 1CP twice when the bearer’s unit is targeted with a Stratagem?",No.,datasheet: Cadian Shock Troops; datasheet: Catachan Jungle Fighters; datasheet: Death Korps of Krieg; datasheet: Kasrkin; datasheet: Tempestus Scions
"Captain in Phobos Armour, Master of Deceit Ability","Change to: | ‘After both players have deployed their armies, if your army includes one or more models with this ability, you can select up to three friendly **ADEPTUS ASTARTES INFANTRY** units and redeploy all of those units. When doing so, any of those units can be placed into Strategic Reserves, regardless of how many units are already in Strategic Reserves.’",,,datasheet: Captain in Phobos Armour
,,"When I set up a unit using the Monolith’s Eternity Gate ability, do I have to set that unit up wholly within 6"" of one battlefield edge?",No.,datasheet: Monolith
"Mawloc, Raveners, Trygon – Keywords Section",Add '**VANGUARD INVADER**'.,,,datasheet: Mawloc; datasheet: Raveners; datasheet: Trygon
"Nexos, Abilities, Battlefield Analysis","Change to: | ‘Once per battle round, one model from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that use of that Stratagem by 1CP.’",,,datasheet: Nexos
,,"When going second, can a Tzaangor unit that started the game on the battlefield and was placed into Strategic Reserves by its Ambushing Hunters ability then arrive during my first turn using the Twisted Mirage Stratagem?",No.,datasheet: Tzaangors; stratagem
Warlock Skyrunners,"■ **Keywords section**: delete ‘**CHARACTER**’. | ■ **Leader section**: change to ‘At the start of the Declare Battle Formations step, if this unit is not an Attached unit, this unit can join one **WINDRIDERS** unit from your army (a unit cannot have more than one **WARLOCK SKYRUNNERS** unit joined to it). If it does, until the end of the battle, every model in this unit counts as being part of that Bodyguard unit, and that Bodyguard unit’s Starting Strength is increased accordingly.’ | ■ **Runes of Battle ability**: Change to ‘Weapons equipped by models in this unit have the **[IGNORES COVER]** ability.’",,,datasheet: Warlock Skyrunners
"Captain in Phobos Armour, Lieutenant in Reiver Armour, Reiver Squad, Scout Squad – Combat Knife weapon",Change **AP** to '-1'.,,,datasheet: Captain in Phobos Armour; datasheet: Lieutenant in Reiver Armour; datasheet: Reiver Squad; datasheet: Scout Squad
,,Can the Exalted Sorcerer on Disk of Tzeentch and the Tzaangor Shaman lead Tzaangor Enlightened with fatecaster greatbows?,Yes.,datasheet: Exalted Sorcerer on Disc of Tzeentch; datasheet: Tzaangor Enlightened with Fatecaster Greatbows; datasheet: Tzaangor Shaman
,,"Can I attempt to generate 1CP from a unit containing a vox-caster, when targeting that unit with the Reinforcements! Stratagem?",No.,stratagem
"Huron's Marauders Detachment, To The Favoured The Spoils Stratagem, Effect Section","Change to: | '**EFFECT**: Your unit can make a **surge move** of up to D6"".'",,,stratagem
"Killa Kans, Shooty Power Trip Ability","Change to: | ‘Each time this unit is selected to shoot, you can roll one D6: | ■ On a 1‑2, this unit suffers D3 mortal wounds. | ■ On a 3‑4, until the end of the phase, add 1 to the Strength characteristic of ranged weapons equipped by models in this unit. | ■ On a 5‑6, until the end of the phase, add 1 to the Attacks characteristic of ranged weapons equipped by models in this unit.’",,,datasheet: Killa Kans
,,"When I set up a unit using the Monolith’s Eternity Gate ability, and that unit is not wholly within 6"" of one battlefield edge, is that unit eligible to shoot in my Shooting phase?",Yes.,datasheet: Monolith
"Neurolictor, Keywords Section",Add '**SYNAPSE**'.,,,datasheet: Neurolictor
"Primus, Cult Demagogue Ability","Change to: | ‘While this model is leading a unit, each time a model in that unit makes an attack, you can add 1 to the Hit roll.’",,,datasheet: Primus
"Yvraine, Herald of Ynnead Ability","Change to: | ‘At the start of the Fight phase, select one enemy unit within Engagement Range of this model. Until the end of the phase, each time a friendly **AELDARI** model makes an attack that targets that unit, you can re‑roll a Wound roll of 1.’",,,datasheet: Yvraine
"Captain with Jump Pack, Wargear Options Section","Add the following bullet point: | ‘• If this model is equipped with a heavy bolt pistol and an Astartes chainsword, it can be equipped with 1 relic shield. This model’s heavy bolt pistol and Astartes chainsword cannot be replaced.",,,datasheet: Captain with Jump Pack
,,"While using the Rubricae Phalanx Detachment, if I attach a **CHARACTER** to a unit selected using the Risen Rubricae Enhancement, does that **CHARACTER** also gain the Infiltrators ability?",Yes.,enhancement
"Huron Blackheart, Hamadrya's Knowledge (Psychic) Ability","Change to: | 'Once per battle round, when an enemy unit ends a Normal, Advance or Fall Back move within 8"" of this model’s unit, if this model’s unit is not within Engagement Range of one or more enemy units, it can make a Normal move of up to D3+3"".'",,,datasheet: Huron Blackheart
Kommandos,"■ **Sneaky Gitz Ability** | Change to: | 'Enemy units cannot target this unit with **snap shooting** attacks.' | ■ **Patrol Squad Section** | Add new Patrol Squad section with: ‘At the start of the Declare Battle Formations step this unit can be split into two units, each containing five models. (when splitting a unit in this way, make a note of which models form each of the two new units. If you are splitting a unit that is equipped with 1 bomb squig and/or 1 distraction grot, only one of the new units can use that ability during the battle – make a note of which of the new units this will be).’",,,datasheet: Kommandos
,,"Does the Canoptek Court Autodivinator Enhancement trigger when army rule effects such as Code Chivalric (Imperial Knights) award a player CP, or when an opponent discards a Secondary Mission card for 1CP?",No in both cases. It only triggers when your opponent gains CP as the result of an ability (not any other kind of rule).,enhancement
"Norn Assimilator, Keywords Section",Add '**HARVESTER**'.,,,datasheet: Norn Assimilator
,,"When using the Creeping Barrage ability, how do you resolve the maximum number of units that can be shaken?","You roll one D6 for each enemy unit that is more than 12” from every model from your army that is on the battlefield, in an order of your choosing, one at a time. Once the maximum number of enemy units for the battle size have been shaken, stop rolling for any additional units.",detachment
Ynnari Venom,"■ **Lithe Embarkation Ability**: add 'That unit can embark within this TRANSPORT in a turn it disembarked from this TRANSPORT.' | ■ **Transport section, second paragraph** | Change to: | 'Before the battle, at the start of the Declare Battle Formations step, you can select one **YNNARI KABALITE WARRIORS** or **YNNARI WYCHES** unit from your army that has not already been split. If you do, that unit is split into two units, each containing as equal a number of models as possible (when splitting a unit in this way, make a note of which models form each of the two new units). One of these units must start the battle embarked within this **TRANSPORT**; the other can start the battle embarked within another **TRANSPORT**, or it can be deployed as a separate unit.'",,,datasheet: Ynnari Venom
Reductus Saboteur,"■ **Demolition Charges**: Change Range characteristic to ‘8""’. | ■ **Planted Explosives Ability**: Change 9"" to 8"".",,,datasheet: Reductus Saboteur
Sanctus,"■ **Creeping Shadow Ability** | Change to: | 'If this model is equipped with a Cult Sniper Rifle, In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units, this unit can make a Normal move of up to 6”.' | ■ **Cloaked Assassin Ability, Second Sentence** | Change to: | 'Enemy units cannot target this unit with **snap shooting** attacks.'",,,datasheet: Sanctus
,,"If a unit is removed from the battlefield using the Hypercrypt Legion Hyperphasing Detachment rule and it has the Deep Strike ability, can that unit arrive from Reserves in the first battle round?",No.,detachment
Cato Sicarius - Core Abilities,"Remove 'Leader', add 'Support'",,,datasheet: Cato Sicarius
,,"When using the Cabal of Sorcerers army rule, do I have to choose whether to Channel the Warp before rolling any dice?",No.,army rule: Cabal of Sorcerers
"Warpstrike Champions Detachment, Portal of Spite Stratagem, Effect Section",Change to: | 'Your unit has +2 to charge rolls'.,,,stratagem
"Meganobz, Krumpin’ Time Ability","Change to: | ‘While the Waaagh! is active for your army, models in this unit have the Feel No Pain 5+ ability.’",,,datasheet: Meganobz
,,"When an Ogryn Bodyguard joins a Militarum Tempestus Command Squad, can the unit set up using the Deep Strike ability?","No, as the Ogryn Bodyguard model does not have the Deep Strike ability.",datasheet: Militarum Tempestus Command Squad; datasheet: Ogryn Bodyguard
Psychophage,"**■ Profile –** Change **M** to 12"". | **■ Bio-stimulus Ability –** Change to: **‘**In your Shooting phase, after this model has shot, select one enemy unit hit by one or more of those attacks. Until the end of the turn, each time a friendly **TYRANIDS** unit makes a melee attack that targets that enemy unit, improve the Armour Penetration characteristic of that attack by 1. The same enemy unit can only be affected by this ability once per turn.' | **■ Keywords** – Add ‘**SMOKE**’**.** | **■ Talons and Betentacled Maw Weapon** – Change **A** to '6' and **AP** to '-2'.",,,datasheet: Psychophage
"Ynnari Incubi, Melee Weapons, Demiklaives (single blade)",Change AP characteristic to ‘-2’.,,,datasheet: Ynnari Incubi
,,"When setting up a unit using the Cult Ambush army rule, if my opponent has an ability that places restrictions on where my Reserves units can be set up (e.g. a Space Marine Infiltrator Squad’s Omni-scramblers ability), do I have to meet those restrictions when setting up my unit (e.g. for Omni-scramblers, not within 12” of that Infiltrator Squad)?",Yes.,army rule: Cult Ambush
"Cato Sicarius, Knight Champion of Macragge Ability","Change to: | 'In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units, this unit can make a Normal move of up to 6”.'",,,datasheet: Cato Sicarius
,,"When using the Cabal of Sorcerers army rule, if I roll one or more doubles or triples, does my model only suffer D3 mortal wounds if I chose to Channel the Warp?",Yes.,army rule: Cabal of Sorcerers
"Warpstrike Champions Detachment, Empyric Dislocation Stratagem, Effect Section","Change to: | **Effect**: ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
"Mek Gunz, Bubblechukka weapon ability","Change to: ‘Before selecting targets for one or more models equipped with this weapon, roll one D6 to determine which profile models equipped with this weapon will make attacks with, comparing the result with the numbers shown.",,,datasheet: Mek Gunz
,,"If I target a Canoptek Wraiths unit with the Canoptek Court Reactive Subroutines Stratagem, can this trigger that unit’s Wraith Form ability?",Yes.,stratagem
"The Swarmlord, Malign Presence Ability","Change to: | **'**Once per turn, when your opponent targets a unit from their army within 12” of this model with a **stratagem**, you can use this ability. If you do increase the CP cost of that use of that **stratagem** by 1CP.'",,,
,,"After using the Torc of Morai-Heg Enhancement, must my opponent continue to use the selected Stratagem at the increased cost if they have necessary CP available?",Yes.,enhancement
"Tyrannofex, Ranged Weapons, Rupture Cannon",Change **D** to 'D6+6'.,,,datasheet: Tyrannofex
,,"If I include Kasrkin units in my army using the rules for Brood Brothers, can I use their Warrior Elite ability to select an Order for them in my Command phase?",Yes.,datasheet: Kasrkin; detachment
,,Do rules that activate Reanimation Protocols (e.g. the Protocol of the Undying Legions Stratagem) only apply to a Bodyguard unit whose attached Leader unit is on the battlefield if one or more models from that Bodyguard unit are also still on the battlefield?,Yes.,army rule: Reanimation Protocols
"Cato Sicarius, Honour or Death ability","Change to: | 'You can target this unit with the **Heroic Intervention stratagem**, regardless of any other uses of that **stratagem** this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that **stratagem** on other units this phase.'",,,datasheet: Cato Sicarius
"Traitor Guardsmen Squad,Twisted Defence Force Ability","Change to: | 'While this unit is within range of an objective, this unit has +1 Sv against ranged attacks.'",,,datasheet: Traitor Guardsmen Squad
"Morkanaut, Big an’ Shooty Ability","Change to: | ‘Each time this model makes a ranged attack, if the Waaagh! is active for your army, add 1 to the Hit roll.’",,,datasheet: Morkanaut
,,"After using the Torc of Morai-Heg Enhancement, if my opponent does not have the necessary CP available for the selected Stratagem, what happens?",No CP are spent and that Stratagem’s effects are not resolved (but that Stratagem still counts as having been used this phase).,enhancement
"Chief Librarian Tigurius, Master of Prescience Ability","Change to: | 'While this model is leading a unit, each time an attack targets that unit, subtract 1 from the Hit roll. In addition, once per battle round, when you target that unit with the Counteroffensive/Fire Overwatch/Heroic Intervention stratagem, that use is -1 CP.'",,,datasheet: Chief Librarian Tigurius
"Trygon, Subterranean Tunnels Ability","Change to: | **‘**In your Movement phase, when this model is set up on the battlefield using the Deep Strike ability, it can use a subterranean tunnel. If it does, this model can be set up anywhere on the battlefield that is more than 6"" horizontally away from all enemy units, but until the end of the turn, it is not eligible to declare a charge.’",,,datasheet: Trygon
,,"When I set up a unit using the Cult Ambush army rule without using a Cult Ambush marker, can I target that unit with the Tunnel Crawlers Stratagem?",Yes.,stratagem
"Stompa, Transport Section",Change to: | ‘This model has a transport capacity of 22 **ORKS INFANTRY** models. Each **MEGA ARMOUR** or **JUMP PACK** model takes up the space of 2 models. The **GHAZGHKULL THRAKA** model takes up the space of 4 models.’,,,datasheet: Stompa
"Pactbound Zealots Detachment, Restrictions Section",Change to: | ‘A **CHARACTER**/**EPIC HERO** unit can only be attached to a unit if both units share the same keyword from the list above.',,,detachment
,,"When using the Yncarne’s Ethereal Form ability, can I choose for it to regain fewer lost wounds than the D3 roll generated?",No.,datasheet: The Yncarne
"Company Heroes, Keywords","Change to: | ‘**KEYWORDS** – **ALL MODELS**: INFANTRY, GRENADES, IMPERIUM, TACTICUS, COMPANY HEROES | **ANCIENT**: ANCIENT’",,,datasheet: Company Heroes
"Termagants, Skulking Horrors Ability","Change to: | 'In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units, this unit can make a Normal move of up to D6”.",,,datasheet: Termagants
,,"If one of my **CHARACTER** models is destroyed, do I need to have another **GENESTEALER CULTS CHARACTER** model on the battlefield or in Reserves to use the Vengeance for the Martyr! Stratagem?",Yes.,stratagem
"Warboss, Da Biggest and da Best Ability","Change to: | ‘While the Waaagh! is active for your army, add 4 to the Attacks characteristic of this model’s melee weapons.’",,,datasheet: Warboss
"Veterans of the Long War Detachment, Contemptuous Disregard Stratagem, Effect Section","Change to: | ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
"Von Ryan's Leapers, Pouncing Leap ability","Change to: | 'You can target this unit with the **Heroic Intervention** stratagem, regardless of any other uses of that **stratagem** this phase. If you do: | ▪ That use is -1 CP. | ▪ That use does not prevent any uses of that **stratagem** on other units this phase.'",,,datasheet: Von Ryan’s Leapers
,,Do I have to remove ‘unused’ Cult Ambush markers from the battlefield at the end of my opponent’s next Movement phase?,No.,army rule: Cult Ambush
Darnath Lysander,"Add new ‘**Inspiring Commander**’ section: | ‘If you include this model in your army, until the end of the battle, non-**CHARACTER** models in **TERMINATOR ASSAULT SQUAD** and **TERMINATOR SQUAD** units from your army have an Objective Control characteristic of 2 while they are not Battle-shocked.’",,,datasheet: Darnath Lysander
"Renegade Raiders Detachment, Unfailingly Obdurate Stratagem, Effect Section","Change to: | ‘Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.’",,,stratagem
"Warboss in Mega Armour, Dead Brutal Ability","Change to: | ‘While the Waaagh! is active for your army, this model’s ’uge choppa has a Damage characteristic of 3.’",,,datasheet: Warboss in Mega Armour
"Chaos Cult Detachment, Keywords Section",Change to: | ‘**TRAITOR GUARDSMEN SQUAD** units from your army gain the **BATTLELINE** keyword.’,,,detachment
"Weirdboy, Da Jump Ability","Change 9"" to 8"".",,,datasheet: Weirdboy
Desolation Squad,"■ **Targeter Optics Ability**: Change to ‘Each time this unit Remains Stationary, until the start of your next Movement phase, ranged weapons equipped by models in this unit have the **[IGNORES COVER]** ability.’ | ■ Unit Composition: Change bullet points to: | '• 1 Desolation Sergeant | • 4 Desolation Marines'",,,datasheet: Desolation Squad
"Sporocyst, Seed Mucolids Ability","Change 9"" to 8"".",,,
,,"If I have no units in Cult Ambush, do I have to remove any remaining Cult Ambush markers from the battlefield?",No.,army rule: Cult Ambush
,,"While using the Subterranean Assault Detachment, does a Mawloc’s Terror from the Deep ability trigger when arriving via a Tunnel Marker?",No.,datasheet: Mawloc
"Chaos Cult Detachment, Warped Foresight Enhancement","Change to: | ‘**DARK APOSTLE** or **DAMNED** model only. While the bearer is leading a unit with the Scouts 6” ability, every model in the bearer’s unit has the Scouts 6” ability.",,,enhancement
"Zodgrod Wortsnagga, Special Dose Ability","Change to: | ‘While the Waaagh! is active for your army, add 6"" to the Move characteristic of models in this model’s unit.’",,,datasheet: Zodgrod Wortsnagga
"Drop Pod, Drop Pod Assault Ability","Change 9"" to: 8""",,,datasheet: Drop Pod
,,What is the effect of the Unseen Lurkers Stratagem with respect to the Balance Dataslate ruling on Stratagems that prevent units from being targeted?,"The effect of the Unseen Lurkers Stratagem becomes: | ‘**EFFECT**: Until the end of the phase, your unit can only be selected as the target of a ranged attack if the attacking model is within 18"" or, if your unit has the Lone Operative ability, if the attacking model is within 6"". Your opponent can select new targets for the attacking unit’s attacks.’",
"Drop Pod, Gladiator Lancer, Gladiator Reaper, Gladiator Valiant, Hammerfall Bunker, Impulsor, Invader ATV, Land Raider, Land Raider Crusader, Land Raider Redeemer, Predator Annihilator, Predator Destructor, Razorback, Repulsor, Repulsor Executioner, Rhino, Storm Speeder Hailstrike, Storm Speeder Hammerstrike, Storm Speeder Thunderstrike, Stormhawk Interceptor, Stormraven Gunship, Stormtalon Gunship, Vindicator, Whirlwind – Keywords Section",Add 'FRAME'.,,,datasheet: Drop Pod; datasheet: Gladiator Lancer; datasheet: Gladiator Reaper; datasheet: Gladiator Valiant; datasheet: Hammerfall Bunker; datasheet: Impulsor; datasheet: Invader ATV; datasheet: Land Raider; datasheet: Land Raider Crusader; datasheet: Land Raider Redeemer; datasheet: Predator Annihilator; datasheet: Predator Destructor; datasheet: Razorback; datasheet: Repulsor; datasheet: Repulsor Executioner; datasheet: Rhino; datasheet: Storm Speeder Hailstrike; datasheet: Storm Speeder Hammerstrike; datasheet: Storm Speeder Thunderstrike; datasheet: Stormhawk Interceptor; datasheet: Stormraven Gunship; datasheet: Stormtalon Gunship; datasheet: Vindicator; datasheet: Whirlwind
"Deceptors Detachment, Falsehood Enhancement, third sentence","Change to: | ‘If you do, in one of your Movement phases, you can select one model in a friendly **LEGIONARIES** or **CHOSEN** unit that has two or more models remaining and is on the battlefield (excluding Attached units).’",,,enhancement
,,"If a unit has an ability that checks if the Waaagh! is active for your army in order for that ability to take effect (e.g. the Meganobz’ Krumpin’ Time ability), does that ability take effect if another rule makes the Waaagh! active for that unit (e.g. the Bully Boyz Detachment rule)?",Yes.,army rule: Waaagh!
,,Do units that are repositioned by rules that do not specify that the unit being repositioned is first placed into Reserves (e.g. the Grey Knights Teleport Assault rule) need to take a Battle-shock test on a roll of 2+ if a **TYRANIDS CHARACTER** with the Hunting Grounds Enhancement is on the battlefield?,Yes. Rules that are triggered by or apply to Reserves units are also triggered by and apply to a repositioned unit when it is set back up.,enhancement
"Heavy Intercessor Squad, Ranged Weapons, heavy bolt rifle and heavy bolter profiles","Change to: | **Heavy bolt rifle** [ASSAULT, HEAVY] | Range - 30"" | A - 2 | BS - 3+ | S - 5 | AP - -1 | D - 2 | **Heavy bolter** [ASSAULT, HEAVY, SUSTAINED HITS 1] | Range - 36"" | A - 3 | BS - 3+ | S - 5 | AP - -1 | D - 2",,,datasheet: Heavy Intercessor Squad
"Deceptors Detachment, Relentless Pursuit Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
,,"If a model has an ability that triggers when you call a Waaagh! and that model is embarked within a **TRANSPORT** when this happens (e.g. a Warboss’ Da Biggest and da Best ability), does that ability take effect?",Yes.,army rule: Waaagh!
"Impulsor, Transport Section",Change to: | ‘This model has a transport capacity of 7 **TACTICUS** or **PHOBOS INFANTRY** models. It cannot transport **JUMP PACK** models.',,,datasheet: Impulsor
,,"When using the Conniving Runts Stratagem, to be able to make the Normal move as part of the Stratagem, do I need to roll a 4+ and have inflicted any mortal wounds?",No.,stratagem
"Dreadtalons Detachment, Screaming Descent Stratagem, Effect section","Change to: | 'Set your unit up anywhere on the battlefield that is more than 6"" horizontally away from all enemy units, but until the end of the turn, it is not eligible to declare a charge. Then select one enemy **INFANTRY** or **MOUNTED** unit within 9"" of and visible to your unit: that unit makes a battle‑shock roll.’",,,stratagem
,,Can I use the Rapid Regeneration Stratagem when an ability like Doombolt or Vortex of Doom would inflict mortal wounds on a **TYRANIDS** unit from my army?,No.,stratagem
,,"When resolving a Mawloc’s Terror From the Deep ability, which units need to take a Battle-shock test: every unit within 12"" of the Mawloc, or only those units for which a 5+ was rolled when resolving that ability?",Only those units for which a 5+ was rolled.,datasheet: Mawloc
"Inceptor Squad, Meteoric Descent Ability","Change to: | ‘In your Movement phase, when this unit is set up on the battlefield using the Deep Strike ability, it can perform a meteoric descent. If it does, this unit can be set up anywhere on the battlefield that is more than 6"" horizontally away from all enemy units, but until the end of the turn, it is not eligible to declare a charge.’",,,datasheet: Inceptor Squad
,,In the Effect section of the Go Get ’Em! Stratagem there is an additional effect if my unit contains 10 or more models. When do I check if my unit has 10 or more models?,This is checked after the attacking unit has shot.,stratagem
"Pactbound Zealots Detachment, Marks of Chaos Detachment Rule, Restrictions Section",Add an additional bullet point: | ‘• A unit can only embark within (or start the battle embarked within) a **TRANSPORT** if both of those units share the same keyword from the list above.’,,,detachment
"Incursor Squad, Lieutenant in Phobos Armour, Lieutenant with Combi-weapon – Paired Combat Blades weapon",Change **AP** to '-1'.,,,datasheet: Incursor Squad; datasheet: Lieutenant in Phobos Armour; datasheet: Lieutenant with Combi-weapon
,,"If my opponent uses a rule to place a unit into Strategic Reserves during the first battle round, and that rule states that the unit must arrive on the battlefield in the next battle round, what happens if a model from my army uses the Psychostatic Disruption Enhancement in the second battle round when that enemy Strategic Reserves unit is due to arrive?","The ‘cannot arrive’ rule takes precedence over the rule stating that the unit ‘must arrive’ from Strategic Reserves. Roll one D6: on a 4+, that enemy unit cannot arrive on the battlefield this turn.",enhancement
,,Can a unit equipped with multiple Bomb Squigs use its Bomb Squig ability more than once each phase?,No.,datasheet: Breaka Boyz; datasheet: Kommandos; datasheet: Squighog Boyz; datasheet: Tankbustas
"Soulforged Warpack Detachment, Feeding Frenzy Stratagem, Target Section",Change to: | ‘One **HERETIC ASTARTES DAEMON VEHICLE** or **VASHTORR THE ARKIFANE** unit from your army that is within Engagement Range of that enemy unit.’,,,stratagem
,,"If I select a unit of Neurogaunts for a Neurotyrant’s Neuroloids ability that is not led by a **SYNAPSE** unit, does that unit of Neurogaunts gain the **SYNAPSE** keyword?",No.,datasheet: Neurotyrant
"Infernus Squad, Ranged Weapons, pyreblaster profile","Change to: | **Pyreblaster** [IGNORES COVER, TORRENT] | Range - 12"" | A - D6 | BS - N/A | S - 5 | AP - -1 | D - 1",,,datasheet: Infernus Squad
"Soulforged Warpack Detachment, Unstoppable Rampage Stratagem, Target Section",Change to: | ‘One **HERETIC ASTARTES DAEMON VEHICLE** or **VASHTORR THE ARKIFANE** unit from your army that has not been selected to move or charge this phase.’,,,stratagem
,,"When using the Reclaim Biomass Stratagem, can the Stratagem effect be used on the unit that was just destroyed?",No.,stratagem
"Infernus Squad, Incendiary Terror Ability","Change to: | ‘In your Shooting phase, after this unit has shot, you can select one enemy **INFANTRY** unit hit by one or more of those attacks made with a pyreblaster. That enemy unit must take a Battle-shock test, subtracting 1 from that test.’",,,datasheet: Infernus Squad
"Soulforged Warpack Detachment, Predatory Pursuit Stratagem, Target Section",Change to: | ‘One **HERETIC ASTARTES DAEMON VEHICLE** or **VASHTORR THE ARKIFANE** unit from your army that is within 8” of that enemy unit and not within Engagement Range of one or more enemy units.’,,,stratagem
"Master of Executions, Core Abilities Section","Remove 'Leader', add 'Support'.",,,datasheet: Master of Executions
"Intercessor Squad, Abilities Section","Add new ability: | ‘**Target Elimination**: Each time this unit is selected to shoot, it can use this ability. If it does, until the end of the phase, add 2 to the Attacks characteristic of bolt rifles equipped by models in this unit and you can only select one enemy unit as the target of all of this unit’s attacks.’",,,datasheet: Intercessor Squad
,,Does an Attached unit containing a Hive Tyrant and Tyrant Guard receive the Stealth ability from a Venomthrope’s Foul Spores ability?,No. The unit has the **MONSTER** keyword and the ability excludes **MONSTERS**.,datasheet: Venomthropes
,,Are Spore Mines units that are added to an army during a battle restricted by abilities that prevent Reserves from being set up within a certain range (e.g. Space Marines Infiltrators’ Omniscrambers)?,No.,datasheet: Spore Mines
"Veterans of the Long War Detachment, Eager For Vengeance Enhancement","Change to: | ‘**HERETIC ASTARTES** model only (excluding **DAMNED** models). The bearer’s unit is eligible to shoot and declare a charge in a turn in which it Fell Back. Each time a model in the bearer’s unit makes an attack that targets your focus of hatred, if the bearer’s unit Fell Back this turn, add 1 to the Hit roll, and each time you select your focus of hatred as a target of that unit’s charge, add 1 to the Charge roll.’",,,enhancement
Iron Father Feirros,"Add new ‘**Inspiring Commander**’ section: | ‘If you include this model in your army, until the end of the battle, non-**CHARACTER** models in **HEAVY INTERCESSOR SQUAD** units from your army have an Objective Control characteristic of 3 while they are not Battle-shocked.’",,,datasheet: Iron Father Feirros
"Veterans of the Long War Detachment, Bringers of Despair Stratagem",■ **CP Cost**: change to '1CP'. | ■ **When section**: change to 'Fight phase.',,,stratagem
